Year,Round,TeamB,TeamA,PlayerB,PlayerA,Selected
2015,1,Ireland Craic,Australia Platypus,Mike Porter,Dyland Simmer,1
2015,1,Ireland Craic,Australia Platypus,Jason Jenson,Sheldon Pace,2
2015,1,Ireland Craic,Australia Platypus,Philip Johnston,Aaron Wale,3
2015,1,Ireland Craic,Australia Platypus,Phil Doogan,Jeff Galea,4
2015,1,Ireland Craic,Australia Platypus,Dan Porter,David Potts,5
2015,2,England Lions,Belgium Blonde,Brett Wilkie,Klaas Luyckx,1
2015,2,England Lions,Belgium Blonde,Michael Dick,Tommy Geuns,2
2015,2,England Lions,Belgium Blonde,Jamie Perkins,Wout Maerschalck,3
2015,2,England Lions,Belgium Blonde,Paul North,Dirk Pintjens,4
2015,2,England Lions,Belgium Blonde,Dan Cunningham,Laurens Tanguy,5
2015,3,Germany Dichter & Denker,USA Stripes,Robin Maukisch,Jeremy Lee,1
2015,3,Germany Dichter & Denker,USA Stripes,Sascha Maisel,Brian Marino,2
2015,3,Germany Dichter & Denker,USA Stripes,Moritz Riegler,Brandon Cating,3
2015,3,Germany Dichter & Denker,USA Stripes,Christian Metz,Jay Larsen,4
2015,3,Germany Dichter & Denker,USA Stripes,Benjamin Futzi,Mike Puryear,5
2015,4,Canada Goose,Australia Wombat,Marc André Leblanc,James Moorhouse,1
2015,4,Canada Goose,Australia Wombat,Chris Orr,Ben Leeper,2
2015,4,Canada Goose,Australia Wombat,Chandler Davidson,Joshua Bates,3
2015,4,Canada Goose,Australia Wombat,Charles Soong,Trent Denison,4
2015,4,Canada Goose,Australia Wombat,David Beauchamp,Aaron Thompson,5
2015,5,Finland Blue,Australia Platypus,Henry Hyttinen,Dyland Simmer,1
2015,5,Finland Blue,Australia Platypus,Pauli Lehtoranta,David Potts,2
2015,5,Finland Blue,Australia Platypus,Tatu Purhonen,Jeff Galea,3
2015,5,Finland Blue,Australia Platypus,Jaakko Uusitupa,Aaron Wale,4
2015,5,Finland Blue,Australia Platypus,Mikko Heinola,Sheldon Pace,5
2015,6,Finland Blue,Australia Wombat,Tatu Purhonen,Joshua Bates,1
2015,6,Finland Blue,Australia Wombat,Jaakko Uusitupa,Trent Denison,2
2015,6,Finland Blue,Australia Wombat,Pauli Lehtoranta,James Moorhouse,3
2015,6,Finland Blue,Australia Wombat,Mikko Heinola,Aaron Thompson,4
2015,6,Finland Blue,Australia Wombat,Henry Hyttinen,Ben Leeper,5
